,Season,Competition,Club,Date,Direction,Home_Away,Against,Final_Result,Minute,First_half_Second_half,Score_before_penalty_for_Messi_team,Score_before_penalty_for_opponent,Messi_team_is_winning_losing_tie_before_penalty,Score_after_penalty,Goalkeepers
,18/19,Copa América 2019 Copa América 2019,Argentina,"Jun 20, 2019",CR,Home,Paraguay,1:1,57,2nd,0,1,L,1:1,Roberto Fernández
,18/19,UEFA Champions League UEFA Champions League,FC Barcelona,"Mar 13, 2019",C,Home,Olympique Lyon,5:1,18,1st,0,0,T,1:0,Anthony Lopes
,18/19,LaLiga LaLiga,FC Barcelona,"Mar 9, 2019",LR,Home,Rayo Vallecano,3:1,51,2nd,1,1,T,2:1,Stole Dimitrievski
,18/19,LaLiga LaLiga,FC Barcelona,"Feb 16, 2019",LR,Home,Real Valladolid CF,1:0,43,1st,0,0,T,1:0,Jordi Masip
,18/19,LaLiga LaLiga,FC Barcelona,"Feb 2, 2019",LR,Home,Valencia CF,2:2,39,1st,0,2,L,1:2,Neto
,18/19,LaLiga LaLiga,FC Barcelona,"Nov 11, 2018",UR,Home,Real Betis Balompié,3:4,68,2nd,0,2,L,1:2,Pau López
,17/18,International Friendlies International Friendlies,Argentina,"May 30, 2018",CL,Home,Haiti,4:0,17,1st,0,0,T,1:0,Johny Placide
,17/18,LaLiga LaLiga,FC Barcelona,"Dec 23, 2017",UR,Away,Real Madrid,0:3,64,2nd,1,0,W,0:2,Keylor Navas
,17/18,LaLiga LaLiga,FC Barcelona,"Sep 19, 2017",UL,Home,SD Eibar,6:1,21,1st,0,0,T,1:0,Marko Dmitrovic
,17/18,Supercopa Supercopa,FC Barcelona,"Aug 13, 2017",LL,Home,Real Madrid,1:3,77,2nd,0,1,L,1:1,Keylor Navas
,16/17,LaLiga LaLiga,FC Barcelona,"May 21, 2017",LR,Home,SD Eibar,4:2,75,2nd,2,2,T,3:2,Yoel Rodríguez
,16/17,LaLiga LaLiga,FC Barcelona,"May 6, 2017",UC,Home,Villarreal CF,4:1,82,2nd,3,1,W,4:1,Andrés Fernández
,15/16,World Cup qualification South America World Cup qualification South America,Argentina,"Mar 24, 2017",LR,Home,Chile,1:0,16,1st,0,0,T,1:0,Claudio Bravo
,16/17,LaLiga LaLiga,FC Barcelona,"Mar 19, 2017",LC,Home,Valencia CF,4:2,45,1st,1,1,T,2:1,Diego Alves
,16/17,UEFA Champions League UEFA Champions League,FC Barcelona,"Mar 8, 2017",CL,Home,Paris Saint-Germain,6:1,50,2nd,2,0,W,3:0,Kevin Trapp
,16/17,LaLiga LaLiga,FC Barcelona,"Feb 19, 2017",UL,Home,CD Leganés,2:1,90,2nd,1,1,T,2:1,Iago Herrerín
,16/17,Copa del Rey Copa del Rey,FC Barcelona,"Jan 26, 2017",LR,Home,Real Sociedad,5:2,55,2nd,1,0,W,2:0,Gerónimo Rulli
,16/17,UEFA Champions League UEFA Champions League,FC Barcelona,"Nov 23, 2016",LC,Away,Celtic FC,0:2,55,2nd,1,0,W,0:2,Craig Gordon
,16/17,LaLiga LaLiga,FC Barcelona,"Oct 22, 2016",LL,Away,Valencia CF,2:3,90,2nd,2,2,T,2:3,Diego Alves
,16/17,LaLiga LaLiga,FC Barcelona,"Sep 17, 2016",UR,Away,CD Leganés,1:5,55,2nd,3,0,W,0:4,Jon Ander Serantes
,15/16,World Cup qualification South America World Cup qualification South America,Argentina,"Mar 30, 2016",UR,Home,Bolivia,2:0,30,1st,1,0,W,2:0,Carlos Lampe
,15/16,LaLiga LaLiga,FC Barcelona,"Mar 6, 2016",C,Away,SD Eibar,0:4,76,2nd,2,0,W,0:3,Asier Riesgo
,15/16,UEFA Champions League UEFA Champions League,FC Barcelona,"Feb 23, 2016",LL,Away,Arsenal FC,0:2,83,2nd,1,0,W,0:2,Petr Cech
,15/16,LaLiga LaLiga,FC Barcelona,"Jan 17, 2016",LR,Home,Athletic Bilbao,6:0,7,1st,0,0,T,1:0,Iago Herrerín
,15/16,LaLiga LaLiga,FC Barcelona,"Sep 20, 2015",UR,Home,Levante UD,4:1,61,2nd,2,0,W,3:0,Rubén Martínez
,14/15,Copa América 2015 Copa América 2015,Argentina,"Jun 13, 2015",LR,Home,Paraguay,2:2,36,1st,1,0,W,2:0,Antony Silva
,14/15,LaLiga LaLiga,FC Barcelona,"Apr 28, 2015",C,Home,Getafe CF,6:0,9,1st,0,0,T,1:0,Vicente Guaita
,14/15,LaLiga LaLiga,FC Barcelona,"Mar 14, 2015",UR,Away,SD Eibar,0:2,31,1st,0,0,T,0:1,Jaime Jiménez
,14/15,LaLiga LaLiga,FC Barcelona,"Mar 8, 2015",LR,Home,Rayo Vallecano,6:1,56,2nd,2,0,W,3:0,Cristian Álvarez
,14/15,LaLiga LaLiga,FC Barcelona,"Feb 15, 2015",LR,Home,Levante UD,5:0,65,2nd,3,0,W,4:0,Diego Mariño
,14/15,LaLiga LaLiga,FC Barcelona,"Jan 24, 2015",LL,Away,Elche CF,0:6,55,2nd,1,0,W,0:2,Przemyslaw Tyton
,14/15,Copa del Rey Copa del Rey,FC Barcelona,"Jan 8, 2015",CR,Home,Elche CF,5:0,45,1st,2,0,W,3:0,Przemyslaw Tyton
,14/15,International Friendlies International Friendlies,Argentina,"Nov 12, 2014",LR,Home,Croatia,2:1,57,2nd,1,1,T,2:1,Lovre Kalinic
,13/14,LaLiga LaLiga,FC Barcelona,"Apr 5, 2014",LLC,Home,Real Betis Balompié,3:1,15,1st,0,0,T,1:0,Antonio Adán
,13/14,LaLiga LaLiga,FC Barcelona,"Mar 29, 2014",LL,Away,RCD Espanyol Barcelona,0:1,77,2nd,0,0,T,0:1,Kiko Casilla
,13/14,LaLiga LaLiga,FC Barcelona,"Mar 23, 2014",UR,Away,Real Madrid,3:4,84,2nd,3,3,T,3:4,Diego López
,13/14,LaLiga LaLiga,FC Barcelona,"Mar 23, 2014",CR,Away,Real Madrid,3:4,65,2nd,2,3,L,3:3,Diego López
,13/14,UEFA Champions League UEFA Champions League,FC Barcelona,"Feb 18, 2014",LC,Away,Manchester City,0:2,54,2nd,0,0,T,0:1,Joe Hart
,13/14,LaLiga LaLiga,FC Barcelona,"Feb 1, 2014",UR,Home,Valencia CF,2:3,54,2nd,1,2,L,2:2,Diego Alves
,13/14,UEFA Champions League UEFA Champions League,FC Barcelona,"Nov 6, 2013",C,Home,AC Milan,3:1,30,1st,0,0,T,1:0,Christian Abbiati
,11/12,World Cup qualification South America World Cup qualification South America,Argentina,"Sep 11, 2013",CR,Away,Paraguay,2:5,53,2nd,3,1,W,1:4,Roberto Fernández
,11/12,World Cup qualification South America World Cup qualification South America,Argentina,"Sep 11, 2013",LL,Away,Paraguay,2:5,12,1st,0,0,T,0:1,Roberto Fernández
,13/14,LaLiga LaLiga,FC Barcelona,"Aug 18, 2013",CL,Home,Levante UD,7:0,42,1st,4,0,W,5:0,Keylor Navas
,12/13,International Friendlies International Friendlies,Argentina,"Jun 15, 2013",LL,Away,Guatemala,0:4,40,1st,2,0,W,0:3,Ricardo Jérez
,11/12,World Cup qualification South America World Cup qualification South America,Argentina,"Mar 23, 2013",UR,Home,Venezuela,3:0,43,1st,1,0,W,2:0,Dani Hernández
,12/13,LaLiga LaLiga,FC Barcelona,"Feb 3, 2013",UL,Away,Valencia CF,1:1,39,1st,0,1,L,1:1,Vicente Guaita
,12/13,LaLiga LaLiga,FC Barcelona,"Jan 27, 2013",LL,Home,CA Osasuna,5:1,28,1st,1,1,T,2:1,Andrés Fernández
,12/13,LaLiga LaLiga,FC Barcelona,"Jan 6, 2013",LL,Home,RCD Espanyol Barcelona,4:0,28,1st,3,0,W,4:0,Kiko Casilla
,12/13,LaLiga LaLiga,FC Barcelona,"Sep 15, 2012",RC,Away,Getafe CF,1:4,74,2nd,1,0,W,0:2,Miguel Ángel Moyà
,12/13,Supercopa Supercopa,FC Barcelona,"Aug 23, 2012",CR,Home,Real Madrid,3:2,60,2nd,1,1,T,2:1,Iker Casillas
,11/12,LaLiga LaLiga,FC Barcelona,"May 5, 2012",CR,Home,RCD Espanyol Barcelona,4:0,78,2nd,3,0,W,4:0,Cristian Álvarez
,11/12,LaLiga LaLiga,FC Barcelona,"May 5, 2012",LR,Home,RCD Espanyol Barcelona,4:0,63,2nd,1,0,W,2:0,Cristian Álvarez
,11/12,LaLiga LaLiga,FC Barcelona,"May 2, 2012",CR,Home,Málaga CF,4:1,60,2nd,2,1,W,3:1,Carlos Kameni
,11/12,LaLiga LaLiga,FC Barcelona,"May 2, 2012",LLC,Home,Málaga CF,4:1,34,1st,1,1,T,2:1,Carlos Kameni
,11/12,LaLiga LaLiga,FC Barcelona,"Apr 14, 2012",UR,Away,Levante UD,1:2,73,2nd,1,1,T,1:2,Gustavo Munúa
,11/12,LaLiga LaLiga,FC Barcelona,"Apr 7, 2012",UL,Away,Real Zaragoza,1:4,86,2nd,2,1,W,1:3,Roberto
,11/12,UEFA Champions League UEFA Champions League,FC Barcelona,"Apr 3, 2012",LR,Home,AC Milan,3:1,42,1st,1,1,T,2:1,Christian Abbiati
,11/12,UEFA Champions League UEFA Champions League,FC Barcelona,"Apr 3, 2012",LL,Home,AC Milan,3:1,11,1st,0,0,T,1:0,Christian Abbiati
,11/12,LaLiga LaLiga,FC Barcelona,"Mar 31, 2012",LR,Home,Athletic Bilbao,2:0,57,2nd,1,0,W,2:0,Gorka Iraizoz
,11/12,LaLiga LaLiga,FC Barcelona,"Mar 11, 2012",LR,Away,Racing Santander,0:2,55,2nd,1,0,W,0:2,Mario Fernández
,11/12,LaLiga LaLiga,FC Barcelona,"Jan 15, 2012",CL,Home,Real Betis Balompié,4:2,86,2nd,3,2,W,4:2,Casto
,11/12,UEFA Champions League UEFA Champions League,FC Barcelona,"Nov 23, 2011",LR,Away,AC Milan,2:3,31,1st,1,1,T,1:2,Christian Abbiati
,11/12,UEFA Champions League UEFA Champions League,FC Barcelona,"Nov 1, 2011",LL,Away,FC Viktoria Plzen,0:4,24,1st,0,0,T,0:1,Roman Pavlik
,11/12,LaLiga LaLiga,FC Barcelona,"Oct 29, 2011",UR,Home,RCD Mallorca,5:0,13,1st,0,0,T,1:0,Dudu Aouate
,10/11,LaLiga LaLiga,FC Barcelona,"Apr 16, 2011",UR,Away,Real Madrid,1:1,53,2nd,0,0,T,0:1,Iker Casillas
,10/11,LaLiga LaLiga,FC Barcelona,"Apr 9, 2011",RC,Home,UD Almería,3:1,52,2nd,0,1,L,1:1,Diego Alves
,10/11,UEFA Champions League UEFA Champions League,FC Barcelona,"Mar 8, 2011",LR,Home,Arsenal FC,3:1,72,2nd,2,1,W,3:1,Manuel Almunia
,10/11,International Friendlies International Friendlies,Argentina,"Feb 9, 2011",LL,Away,Portugal,1:2,90,2nd,1,1,T,1:2,Rui Patrício
,10/11,LaLiga LaLiga,FC Barcelona,"Jan 22, 2011",LR,Home,Racing Santander,3:0,33,1st,1,0,W,2:0,Toño
,10/11,LaLiga LaLiga,FC Barcelona,"Dec 4, 2010",LR,Away,CA Osasuna,0:3,82,2nd,2,0,W,0:3,Ricardo
,09/10,International Friendlies International Friendlies,Argentina,"Nov 14, 2009",LL,Away,Spain,2:1,61,2nd,0,1,L,1:1,Iker Casillas
,09/10,LaLiga LaLiga,FC Barcelona,"Nov 7, 2009",LR,Home,RCD Mallorca,4:2,86,2nd,3,1,W,4:1,Dudu Aouate
,09/10,Supercopa Supercopa,FC Barcelona,"Aug 23, 2009",UR,Home,Athletic Bilbao,3:0,68,2nd,1,0,W,2:0,Gorka Iraizoz
